database_name	schema_name	function_name	function_type	return_type	parameters	parameter_types	varargs	macro_definition	has_side_effects	internal	description	function_oid
system	main	+	scalar	TIME WITH TIME ZONE	col0|col1	TIME WITH TIME ZONE|INTERVAL			false	true		1890
system	main	+	scalar	TIME WITH TIME ZONE	col0|col1	INTERVAL|TIME WITH TIME ZONE			false	true		1890
system	main	+	scalar	TIMESTAMP	col0|col1	TIME|DATE			false	true		1890
system	main	+	scalar	TIMESTAMP	col0|col1	DATE|TIME			false	true		1890
system	main	+	scalar	TIMESTAMP WITH TIME ZONE	col0|col1	TIME WITH TIME ZONE|DATE			false	true		1890
system	main	+	scalar	TIMESTAMP WITH TIME ZONE	col0|col1	DATE|TIME WITH TIME ZONE			false	true		1890
system	main	+	scalar	ANY[]			ANY[]		false	true		1890
system	main	+	scalar	BIGNUM	col0|col1	BIGNUM|BIGNUM			false	true		1890
system	main	+	scalar	TIMESTAMP WITH TIME ZONE	col0|col1	TIMESTAMP WITH TIME ZONE|INTERVAL			false	true		1890
system	main	+	scalar	UTINYINT	col0|col1	UTINYINT|UTINYINT			false	true		1890
system	main	+	scalar	USMALLINT	col0	USMALLINT			false	true		1890
system	main	+	scalar	USMALLINT	col0|col1	USMALLINT|USMALLINT			false	true		1890
system	main	+	scalar	UINTEGER	col0	UINTEGER			false	true		1890
system	main	+	scalar	UINTEGER	col0|col1	UINTEGER|UINTEGER			false	true		1890
system	main	+	scalar	UBIGINT	col0	UBIGINT			false	true		1890
system	main	+	scalar	UBIGINT	col0|col1	UBIGINT|UBIGINT			false	true		1890
system	main	+	scalar	UHUGEINT	col0	UHUGEINT			false	true		1890
system	main	+	scalar	UHUGEINT	col0|col1	UHUGEINT|UHUGEINT			false	true		1890
system	main	+	scalar	UTINYINT	col0	UTINYINT			false	true		1890
system	main	+	scalar	DOUBLE	col0	DOUBLE			false	true		1890
system	main	-	scalar	TINYINT	col0	TINYINT			false	true		1891
