fqn	source	demand	corpusDefined	constraints	derived	stereotypes	taggedValues	defaults	escapes	file
meta::pure::alloy::connections::alloy::authentication::AuthenticationStrategy	legend-engine	closure	true	0	0	1	0	0		legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-pure/legend-engine-xt-relationalStore-core-pure/src/main/resources/core_relational/relational/runtime/connection/authenticationStrategy.pure
meta::pure::alloy::connections::alloy::specification::DatasourceSpecification	legend-engine	java	true	0	0	1	0	0		legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-pure/legend-engine-xt-relationalStore-core-pure/src/main/resources/core_relational/relational/runtime/connection/datasourceSpecification.pure
meta::pure::alloy::connections::alloy::specification::LocalH2DatasourceSpecification	legend-engine	java	true	0	0	0	0	0		legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-pure/legend-engine-xt-relationalStore-core-pure/src/main/resources/core_relational/relational/runtime/connection/datasourceSpecification.pure
meta::pure::data::EmbeddedData	legend-engine	closure	true	0	0	1	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/data/data.pure
meta::pure::dataQuality::Checked	legend-engine	java	true	0	0	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/dataQuality/dataQuality.pure
meta::pure::dataQuality::Defect	legend-engine	closure	true	0	0	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/dataQuality/dataQuality.pure
meta::pure::dataQuality::EnforcementLevel	legend-engine	closure	true	enum						legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/dataQuality/dataQuality.pure
meta::pure::dataQuality::RelativePathNode	legend-engine	closure	true	0	0	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/dataQuality/dataQuality.pure
meta::pure::dataQuality::RuleType	legend-engine	closure	true	enum						legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/dataQuality/dataQuality.pure
meta::pure::diagram::AbstractPathView	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-diagram/legend-pure-m2-dsl-diagram-pure/src/main/resources/platform_dsl_diagram/diagram.pure
meta::pure::diagram::AssociationPropertyView	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-diagram/legend-pure-m2-dsl-diagram-pure/src/main/resources/platform_dsl_diagram/diagram.pure
meta::pure::diagram::AssociationView	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-diagram/legend-pure-m2-dsl-diagram-pure/src/main/resources/platform_dsl_diagram/diagram.pure
meta::pure::diagram::AssociationVisibility	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-diagram/legend-pure-m2-dsl-diagram-pure/src/main/resources/platform_dsl_diagram/diagram.pure
meta::pure::diagram::AttributeVisibility	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-diagram/legend-pure-m2-dsl-diagram-pure/src/main/resources/platform_dsl_diagram/diagram.pure
meta::pure::diagram::Diagram	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-diagram/legend-pure-m2-dsl-diagram-pure/src/main/resources/platform_dsl_diagram/diagram.pure
meta::pure::diagram::DiagramNode	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-diagram/legend-pure-m2-dsl-diagram-pure/src/main/resources/platform_dsl_diagram/diagram.pure
meta::pure::diagram::GeneralizationView	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-diagram/legend-pure-m2-dsl-diagram-pure/src/main/resources/platform_dsl_diagram/diagram.pure
meta::pure::diagram::Geometry	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-diagram/legend-pure-m2-dsl-diagram-pure/src/main/resources/platform_dsl_diagram/diagram.pure
meta::pure::diagram::LineGeometry	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-diagram/legend-pure-m2-dsl-diagram-pure/src/main/resources/platform_dsl_diagram/diagram.pure
meta::pure::diagram::LineStyle	legend-pure	platform	false	enum						legend-pure/legend-pure-dsl/legend-pure-dsl-diagram/legend-pure-m2-dsl-diagram-pure/src/main/resources/platform_dsl_diagram/diagram.pure
meta::pure::diagram::Point	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-diagram/legend-pure-m2-dsl-diagram-pure/src/main/resources/platform_dsl_diagram/diagram.pure
meta::pure::diagram::PropertyView	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-diagram/legend-pure-m2-dsl-diagram-pure/src/main/resources/platform_dsl_diagram/diagram.pure
meta::pure::diagram::RectangleGeometry	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-diagram/legend-pure-m2-dsl-diagram-pure/src/main/resources/platform_dsl_diagram/diagram.pure
meta::pure::diagram::Rendering	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-diagram/legend-pure-m2-dsl-diagram-pure/src/main/resources/platform_dsl_diagram/diagram.pure
meta::pure::diagram::TypeView	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-diagram/legend-pure-m2-dsl-diagram-pure/src/main/resources/platform_dsl_diagram/diagram.pure
meta::pure::diagram::TypeVisibility	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-diagram/legend-pure-m2-dsl-diagram-pure/src/main/resources/platform_dsl_diagram/diagram.pure
meta::pure::diagram::Visibility	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-diagram/legend-pure-m2-dsl-diagram-pure/src/main/resources/platform_dsl_diagram/diagram.pure
meta::pure::executionPlan::ExecutionNode	legend-engine	java	true	0	1	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/executionPlan/executionPlan.pure
meta::pure::executionPlan::ExecutionOption	legend-engine	closure	true	0	0	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/executionPlan/executionPlan_generation.pure
meta::pure::executionPlan::ExecutionPlan	legend-engine	java	true	0	0	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/executionPlan/executionPlan.pure
meta::pure::executionPlan::FunctionParameter	legend-engine	java	true	0	0	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/executionPlan/executionPlan.pure
meta::pure::executionPlan::FunctionParametersValidationNode	legend-engine	java	true	0	0	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/executionPlan/executionPlan.pure
meta::pure::executionPlan::ParameterValidationContext	legend-engine	closure	true	0	0	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/executionPlan/executionPlan.pure
meta::pure::executionPlan::PlanVarPlaceHolder	legend-engine	closure	true	0	0	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/executionPlan/executionPlan_generation.pure
meta::pure::executionPlan::PlanVariablePlaceHolder	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/executionPlan.pure
