fqn	source	demand	corpusDefined	constraints	derived	stereotypes	taggedValues	defaults	escapes	file
meta::pure::lineage::scanRelations::RelationTree	legend-engine	java	true	0	4	0	0	0		legend-engine/legend-engine-xts-relationalStore/legend-engine-xt-relationalStore-generation/legend-engine-xt-relationalStore-pure/legend-engine-xt-relationalStore-core-pure/src/main/resources/core_relational/relational/lineage/scanRelations/scanRelations.pure
meta::pure::mapping::Activity	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-mapping/legend-pure-m2-dsl-mapping-pure/src/main/resources/platform_dsl_mapping/result.pure
meta::pure::mapping::AssociationImplementation	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-mapping/legend-pure-m2-dsl-mapping-pure/src/main/resources/platform_dsl_mapping/grammar/mapping.pure
meta::pure::mapping::EmbeddedSetImplementation	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-mapping/legend-pure-m2-dsl-mapping-pure/src/main/resources/platform_dsl_mapping/grammar/mapping.pure
meta::pure::mapping::InlineEmbeddedSetImplementation	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-mapping/legend-pure-m2-dsl-mapping-pure/src/main/resources/platform_dsl_mapping/grammar/mapping.pure
meta::pure::mapping::MappingClass	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-mapping/legend-pure-m2-dsl-mapping-pure/src/main/resources/platform_dsl_mapping/grammar/mapping.pure
meta::pure::mapping::MappingInclude	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-mapping/legend-pure-m2-dsl-mapping-pure/src/main/resources/platform_dsl_mapping/grammar/mapping.pure
meta::pure::mapping::MergeOperationSetImplementation	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-mapping/legend-pure-m2-dsl-mapping-pure/src/main/resources/platform_dsl_mapping/grammar/mapping.pure
meta::pure::mapping::OperationSetImplementation	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-mapping/legend-pure-m2-dsl-mapping-pure/src/main/resources/platform_dsl_mapping/grammar/mapping.pure
meta::pure::mapping::OtherwiseEmbeddedSetImplementation	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-mapping/legend-pure-m2-dsl-mapping-pure/src/main/resources/platform_dsl_mapping/grammar/mapping.pure
meta::pure::mapping::PropertyMappingValueSpecificationContext	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-mapping/legend-pure-m2-dsl-mapping-pure/src/main/resources/platform_dsl_mapping/grammar/mapping.pure
meta::pure::mapping::PropertyOwnerImplementation	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-mapping/legend-pure-m2-dsl-mapping-pure/src/main/resources/platform_dsl_mapping/grammar/mapping.pure
meta::pure::mapping::Result	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-mapping/legend-pure-m2-dsl-mapping-pure/src/main/resources/platform_dsl_mapping/result.pure
meta::pure::mapping::RoutingActivity	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-mapping/legend-pure-m2-dsl-mapping-pure/src/main/resources/platform_dsl_mapping/result.pure
meta::pure::mapping::SetImplementationContainer	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-mapping/legend-pure-m2-dsl-mapping-pure/src/main/resources/platform_dsl_mapping/grammar/mapping.pure
meta::pure::mapping::StoreQuery	legend-engine	closure	true	0	0	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/mapping/mappingExtension.pure
meta::pure::mapping::SubstituteStore	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-mapping/legend-pure-m2-dsl-mapping-pure/src/main/resources/platform_dsl_mapping/grammar/mapping.pure
meta::pure::mapping::ValueTransformer	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-mapping/legend-pure-m2-dsl-mapping-pure/src/main/resources/platform_dsl_mapping/grammar/mapping.pure
meta::pure::mapping::aggregationAware::AggregateSetImplementationContainer	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-mapping/legend-pure-m2-dsl-mapping-pure/src/main/resources/platform_dsl_mapping/grammar/mapping.pure
meta::pure::mapping::aggregationAware::AggregateSpecification	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-mapping/legend-pure-m2-dsl-mapping-pure/src/main/resources/platform_dsl_mapping/grammar/mapping.pure
meta::pure::mapping::aggregationAware::AggregateSpecificationValueSpecificationContext	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-mapping/legend-pure-m2-dsl-mapping-pure/src/main/resources/platform_dsl_mapping/grammar/mapping.pure
meta::pure::mapping::aggregationAware::AggregationAwareActivity	legend-engine	java	true	0	0	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/store/aggregationAware/aggregationAware.pure
meta::pure::mapping::aggregationAware::AggregationAwarePropertyMapping	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-mapping/legend-pure-m2-dsl-mapping-pure/src/main/resources/platform_dsl_mapping/grammar/mapping.pure
meta::pure::mapping::aggregationAware::AggregationAwareSetImplementation	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-mapping/legend-pure-m2-dsl-mapping-pure/src/main/resources/platform_dsl_mapping/grammar/mapping.pure
meta::pure::mapping::aggregationAware::AggregationFunctionSpecification	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-mapping/legend-pure-m2-dsl-mapping-pure/src/main/resources/platform_dsl_mapping/grammar/mapping.pure
meta::pure::mapping::aggregationAware::GroupByFunctionSpecification	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-mapping/legend-pure-m2-dsl-mapping-pure/src/main/resources/platform_dsl_mapping/grammar/mapping.pure
meta::pure::mapping::modelJoin::ModelJoinAssociationImplementation	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-mapping/legend-pure-m2-dsl-mapping-pure/src/main/resources/platform_dsl_mapping/grammar/mapping.pure
meta::pure::mapping::modelJoin::ModelJoinPropertyMapping	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-mapping/legend-pure-m2-dsl-mapping-pure/src/main/resources/platform_dsl_mapping/grammar/mapping.pure
meta::pure::mapping::relation::EmbeddedRelationFunctionSetImplementation	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-mapping/legend-pure-m2-dsl-mapping-pure/src/main/resources/platform_dsl_mapping/grammar/mapping.pure
meta::pure::mapping::relation::RelationFunctionInstanceSetImplementation	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-mapping/legend-pure-m2-dsl-mapping-pure/src/main/resources/platform_dsl_mapping/grammar/mapping.pure
meta::pure::mapping::relation::RelationFunctionPropertyMapping	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-mapping/legend-pure-m2-dsl-mapping-pure/src/main/resources/platform_dsl_mapping/grammar/mapping.pure
meta::pure::mapping::xStore::XStoreAssociationImplementation	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-mapping/legend-pure-m2-dsl-mapping-pure/src/main/resources/platform_dsl_mapping/grammar/mapping.pure
meta::pure::mapping::xStore::XStorePropertyMapping	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-mapping/legend-pure-m2-dsl-mapping-pure/src/main/resources/platform_dsl_mapping/grammar/mapping.pure
meta::pure::metamodel::ModelElement	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::PackageableElement	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::PropertyOwner	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::ReferenceUsage	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::Referenceable	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::constraint::Constraint	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::extension::AnnotatedElement	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::extension::Annotation	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::extension::ElementWithConstraints	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::extension::ElementWithStereotypes	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::extension::ElementWithTaggedValues	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::extension::Profile	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::extension::Stereotype	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::extension::Tag	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::extension::TaggedValue	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::function::ConcreteFunctionDefinition	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::function::Function	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::function::FunctionDefinition	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::function::KeyExpression	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::function::NativeFunction	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::function::PackageableFunction	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::function::property::AbstractProperty	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::function::property::AggregationKind	legend-pure	platform	false	enum						legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::function::property::DefaultValue	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::function::property::Property	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::function::property::QualifiedProperty	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::import::EnumStub	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::import::Import	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::import::ImportGroup	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::import::ImportStub	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::import::PropertyStub	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::multiplicity::Multiplicity	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::multiplicity::MultiplicityValue	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::multiplicity::PackageableMultiplicity	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::relation::AggColSpec	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/relation.pure
meta::pure::metamodel::relation::AggColSpecArray	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/relation.pure
meta::pure::metamodel::relation::ColSpec	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/relation.pure
meta::pure::metamodel::relation::ColSpecArray	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/relation.pure
meta::pure::metamodel::relation::Column	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::relation::FuncColSpec	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/relation.pure
meta::pure::metamodel::relation::FuncColSpecArray	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/relation.pure
meta::pure::metamodel::relation::GenericTypeOperation	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::relation::GenericTypeOperationType	legend-pure	platform	false	enum						legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::relation::RelationElementAccessor	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::relation::RelationType	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::relation::TDS	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-tds/legend-pure-m2-dsl-tds-pure/src/main/resources/platform_dsl_tds/tds.pure
meta::pure::metamodel::relation::TDSRelationAccessor	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-tds/legend-pure-m2-dsl-tds-pure/src/main/resources/platform_dsl_tds/tds.pure
meta::pure::metamodel::relationship::Association	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::relationship::AssociationProjection	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::relationship::Generalization	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::serialization::grammar::GrammarExtension	legend-engine	closure	true	0	0	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/serialization/toPureGrammar.pure
meta::pure::metamodel::testable::Test	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::testable::Testable	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::treepath::ExistingPropertyRouteNode	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::treepath::NewPropertyRouteNode	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::treepath::NewPropertyRouteNodeFunctionDefinition	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::treepath::PropertyRouteNode	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::treepath::RootRouteNode	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::treepath::RouteNode	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::treepath::RouteNodePropertyStub	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::type::ClassProjection	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::type::ConstraintsGetterOverride	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::type::ConstraintsOverride	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::type::DataType	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::type::Enum	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::type::FunctionType	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::type::GetterOverride	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::type::Nil	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::type::PrimitiveType	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::type::Type	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::type::generics::InferredGenericType	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::type::generics::TypeParameter	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::valuespecification::ClassConstraintValueSpecificationContext	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::valuespecification::Expression	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::valuespecification::ExpressionSequenceValueSpecificationContext	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::valuespecification::FunctionExpression	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::valuespecification::InstanceValue	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::valuespecification::InstanceValueSpecificationContext	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::valuespecification::KeyValueValueSpecificationContext	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::valuespecification::NonExecutableValueSpecification	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::valuespecification::ParameterValueSpecificationContext	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::valuespecification::SimpleFunctionExpression	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::valuespecification::StoreValueSpecificationContext	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-store/legend-pure-m2-dsl-store-pure/src/main/resources/platform_dsl_store/grammar/store.pure
meta::pure::metamodel::valuespecification::ValueSpecification	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::valuespecification::ValueSpecificationContext	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::valuespecification::VariableExpression	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/m3.pure
meta::pure::metamodel::variant::Variant	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/variant/variant.pure
meta::pure::milestoning::BiTemporal	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/milestoning.pure
meta::pure::milestoning::BiTemporalMilestoning	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/milestoning.pure
meta::pure::milestoning::BusinessDateMilestoning	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/milestoning.pure
meta::pure::milestoning::BusinessTemporal	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/milestoning.pure
meta::pure::milestoning::DateMilestoning	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/milestoning.pure
meta::pure::milestoning::ProcessingDateMilestoning	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/milestoning.pure
meta::pure::milestoning::ProcessingTemporal	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/milestoning.pure
meta::pure::milestoning::SingleDateTemporalStrategy	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/milestoning.pure
meta::pure::milestoning::TemporalStrategy	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/grammar/milestoning.pure
meta::pure::model::unit::ModelUnit	legend-engine	closure	true	0	16	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/model/modelUnit.pure
meta::pure::router::RoutedValueSpecification	legend-pure	platform	false	0	0	0	0	0		legend-pure/legend-pure-core/legend-pure-m3-core/src/main/resources/platform/pure/routing.pure
meta::pure::router::extension::RouterExtension	legend-engine	java	false	0	0	0	0	1		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/router/extension/router_extension.pure
meta::pure::router::metamodel::ExtendedRoutedValueSpecification	legend-engine	closure	true	0	0	1	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/router/metamodel/routing.pure
meta::pure::router::metamodel::RoutingStrategy	legend-engine	closure	true	0	5	1	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/router/metamodel/routing.pure
meta::pure::router::metamodel::clustering::ClusteredValueSpecification	legend-engine	closure	true	0	0	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/router/metamodel/clustering.pure
meta::pure::router::routing::PropertyMap	legend-engine	closure	true	0	0	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/router/routing/router_routing.pure
meta::pure::router::routing::RoutingState	legend-engine	closure	true	0	0	0	0	1		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/router/routing/router_routing.pure
meta::pure::runtime::ExecutionContext	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-store/legend-pure-m2-dsl-store-pure/src/main/resources/platform_dsl_store/grammar/runtime.pure
